text,true,pred
aw sorry cat NEG_worries NEG_about NEG_the NEG_blankets NEG_i NEG_was NEG_just NEG_wondering NEG_i NEG_m NEG_in NEG_rush NEG_take NEG_your NEG_time!,neutral,negative
help jen monster energy drink crashing.,negative,neutral
picked boston legal season enjoying now. NEG_matter NEG_how NEG_offensive NEG_denny NEG_can NEG_be NEG_i NEG_love NEG_denny NEG_crane! NEG_he NEG_is NEG_a NEG_riot.,positive,neutral
good morning gents! ya today?,neutral,positive
sooo tired headache self inflicted course! good times though,neutral,negative
lol... NEG_the NEG_same!!!,positive,neutral
ur boyfriend better mine? hell no!,negative,neutral
favorite song im standing dont see give change dont know called,positive,neutral
ha! nice. german gonna get me. counting jibberish.,neutral,positive
gonna miss thick blood next friday,neutral,negative
miss too. get together everything settles weeks. congrats house!,positive,neutral
official twilight saga ended... sigh ...my life empty!,neutral,negative
divine take advice lookin phone cost relationship,positive,neutral
nnnaaa uhhhh playah! shawty aint got nun maybe ur phone mines wanted hit u left studio,negative,neutral
try height small cars NEG_much NEG_fun NEG_specially NEG_on NEG_bumbpy NEG_country NEG_roads! NEG_haha,negative,neutral
know think like dieing!,negative,neutral
hehe bet never NEG_looked NEG_back! NEG_weeks NEG_is NEG_a NEG_long NEG_school NEG_trip!,positive,neutral
aaaaaahhhhhhhh !!!!! soooooooo sweeeeeeet !!!!!! miss age ..... soooo much !,neutral,negative
days without sleep migraine. thought life postr meant relaxing,negative,neutral
hiiiiii! texted u day u respond that?!,negative,neutral
freakin hawt guys restaurant...where eating dinner father,positive,neutral
wait next twitter.,positive,neutral
NEG_i NEG_haven NEG_t NEG_had NEG_chance NEG_to NEG_watch NEG_that NEG_yet...going NEG_to NEG_have NEG_to NEG_get NEG_hold NEG_of NEG_it. NEG_thanks NEG_for NEG_the NEG_tip.,positive,neutral
NEG_it NEG_s NEG_sad. NEG_should NEG_make NEG_you NEG_proud,negative,neutral
twit twit twitter! trying legally watch movie online NEG_happening,negative,neutral
win ... sigh rakeem,positive,neutral
whatever pung ! haha.. dont care. jk,neutral,negative
like them. weird?,positive,negative
two small dogs good hear center parcs wd take them. cruising new york queen mary real treat,negative,positive
thanks gourmetcook! cold shower help.,negative,positive
heard disgruntled investors calling hoe ? seems totally line,negative,neutral
n booklife heard too... seems overreaction...,negative,neutral
sorry...but bet bad...,neutral,negative
aw kaelah feel bad you. sounds serious? please get better soon. admire still working hard stuff.,neutral,negative
super pumped relay life tonite. walking honor sweet grandpa uncle howard past yesterday,neutral,positive
home sweet home carrie underwood makes sadd,negative,positive
reading taking notes undertanding none ... help!,negative,positive
sabi ko nga lighting hazardous health got shoes thanks love,neutral,positive
theatre.... seeing star trek second time becuase cool,positive,neutral
iknowww! NEG_many NEG_people NEG_know NEG_about NEG_it NEG_tho. NEG_so NEG_i NEG_like NEG_to NEG_keep NEG_it NEG_my NEG_little NEG_secret,positive,neutral
woke aspirating stomach acid. praying dont acid reflux one time thing,negative,neutral
morning.. coffee fresh air,positive,neutral
NEG_probs NEG_and NEG_yeah NEG_im NEG_still NEG_sick. NEG_school NEG_today NEG_lol. NEG_feel NEG_really NEG_but NEG_thats NEG_because NEG_im NEG_dancing NEG_lol . thanks,neutral,positive
dreamt someone committed suicide w drip stand!,neutral,negative
NEG_happy NEG_hour NEG_for NEG_me NEG_today,positive,negative
tgif... short week wayyyyyy long,negative,neutral
rob got lucky game beat,positive,neutral
yeah accepted ubc offer last night dunno still make slacking lot lately.,negative,neutral
care struggles..,negative,neutral
right here...don worry,negative,neutral
found want able go see daddy tomorrow leaves ty activity tomorrow morning sucks,negative,neutral
know need NEG_a NEG_fan NEG_of NEG_daily NEG_rain NEG_humidity NEG_i NEG_m NEG_a NEG_native. NEG_i NEG_ll NEG_enjoy NEG_dry NEG_while NEG_it NEG_lasts.,positive,neutral
know man day pulling bed,negative,neutral
fighting sore throat.. days hard training rest next week sunday race.. oooohhh sun out... nope.. gone...,neutral,negative
awww boys NEG_beards? NEG_i NEG_liked NEG_their NEG_manly NEG_man NEG_ness NEG_via,positive,neutral
really like pink saw live new mobile advert,positive,neutral
sorry mo. thought u work tomorrow go casino together ?,negative,neutral
NEG_yet... NEG_sorry,negative,neutral
going bed NEG_plans NEG_for NEG_tomorrow NEG_just NEG_hanging NEG_around NEG_good NEG_night NEG_people,positive,neutral
omg poor eppy! hope ok. scary wow believe NEG_one NEG_noticed.,neutral,negative
hahaha! snoring too?,positive,neutral
hey! negative primatech handle tubes decade longer heroes,negative,neutral
gloomy weather? sun must tired come play heading victoria gardens impulse buys haha,neutral,negative
sad hear shaved really liked beards. feel like minority.,neutral,negative
finished emergency neil strauss another great read neil congrats miss way!,neutral,positive
thank god go me...,neutral,positive
NEG_like NEG_turtles?,neutral,negative
think much want factor? really want fit NEG_going NEG_to NEG_happen,negative,neutral
thx aware day festival multi bands ga more. must wait sit concert,negative,positive
happy birthday meeeee!! excited go tonight gonna miss girl,neutral,positive
great... check get work... block sims work...,positive,neutral
wow got killed first wave horde gears. fail,neutral,negative
lol done one b victim that! lol,negative,neutral
epic weekend atleast year. night cap matthes . hours sleep days! goodnight,positive,neutral
mother song funny? wrong funny heart,neutral,positive
even spf . besides need . putting chemicals face. spf full block.,neutral,negative
video finally done wooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo!,neutral,positive
NEG_minstrels NEG_i NEG_might NEG_have NEG_to NEG_grab NEG_some NEG_from NEG_the NEG_petrol NEG_station NEG_before NEG_i NEG_head NEG_back NEG_to NEG_work. NEG_they NEG_are NEG_delicious!,positive,neutral
dead stopped express lane. would happen choose take it. NEG_way NEG_out NEG_now. NEG_ugh. NEG_hopefully NEG_this NEG_gets NEG_moving,neutral,negative
crazy legs peepin parks pool hahaha likes graf writers NEG_b NEG_boys NEG_sorry,neutral,positive
uber bored atm blue shower watch house numb rs vid csi csi ny bones double . .. . yay!,positive,neutral
twitter foking today arg! hours work till weekend! woooooo,negative,neutral
yessir right,positive,neutral
mcdonalds eating chicken nuggets kid embarrased droped soda haha fell tray lol,negative,neutral
new favorite group j davey hi low . really flygroups come miami hell florida? NEG_rock NEG_the NEG_bells,neutral,negative
saw fiddler topol! girls looooved it! next month... annie! th row! wait trip music store fiddler sheet music.,positive,neutral
finally im back online! miss lappy. many things follow up. starting ning... haha.,negative,neutral
awww sad download copy you!,positive,negative
NEG_way NEG_man! NEG_i NEG_like NEG_year NEG_olds,neutral,negative
texas chainsaw massacre next generation. tis nothing pure insanity. title queen watching bad horror films?,neutral,negative
NEG_worries,positive,neutral
thinks gangsterrr even fit g unit. know,negative,neutral
cool show last night fits,positive,neutral
needs yummy breakfast shift,positive,neutral
oh raining... haaaate it! great violin lesson,negative,positive
poor baby got first booboo caused lol,negative,neutral
actually use standard speaker wire standard terminals NEG_soldering NEG_involved NEG_or NEG_anything.,positive,neutral
got sniffles want get sick need this.,positive,negative
ahahahahahahahaha please eat head,positive,neutral
record john mayer freaking cool.,positive,neutral
man wont home co host you! xo blair,negative,neutral
feel like saying happy belated birfdayy.. month late,negative,positive
yeah realize bad till,negative,neutral
hugs okay making sure!,positive,neutral
grrrr!!! back!!!!! mean headache bright side....it one side!!!!,negative,positive
u serious???? touched ? ohmygod u !!! lol aaaaawwwwwww u tell that!!!,negative,neutral
time NEG_my NEG_friend NEG_today,negative,neutral
bah! bk reception comps aint working.....but sun got hat hip hip horay x,negative,neutral
drinking cordial yes im bored,negative,neutral
soooo fed,negative,neutral
went see hannah montana movie saturday loved .... still cant work twitter though,neutral,positive
ha ha thanks tom! loser! hopefully going nd june till rd july...what date u goin? u missing helen? x,neutral,positive
im soooooooo hungry!! wat eat??,neutral,negative
drained energy,negative,neutral
think going get see sun today gutted need colour!,negative,neutral
would far away,negative,neutral
poop shirt insanely cracked screen iphone. daaaang.,negative,neutral
praying rosary family!,neutral,positive
nt able follow anyone friendorfollow.com come!!!,negative,neutral
scii fi effects definitely look silly NEG_doubt NEG_but NEG_its NEG_worth NEG_a NEG_watch NEG_inspite NEG_of NEG_that!!,neutral,positive
haha ie...it expensive!!!! hm...let message later,negative,neutral
sad true,neutral,negative
dream u like,negative,neutral
sitting traffic car gets rained on. washed sunday. weather know california?,negative,neutral
NEG_the NEG_love NEG_of NEG_my NEG_life NEG_is. NEG_so NEG_i NEG_guess NEG_now NEG_im NEG_definately NEG_shooting NEG_for NEG_good,positive,negative
ok kinda thought so... mean ? ... would funny though.,positive,neutral
cool. itch. got sunburned volcano,negative,neutral
NEG_mean NEG_to NEG_laugh NEG_but NEG_a NEG_little NEG_giggle NEG_did NEG_come NEG_out NEG_sorry,negative,neutral
oh hun sorry... everything last thing deserve unhappy home..,neutral,negative
sleep? sleep again? seem forgottten meaning. much mind. usual insonmia.,neutral,negative
awake am.. sleep,negative,neutral
glad friday two classes lazy afternoon. bad isnt nice warm today,neutral,negative
manchester wayyyyy busy! warm today also!,negative,neutral
dammit no! one tweet september noodles also taken,negative,neutral
could barely sleep last night ugh...anyways good luck finals everybody!!! rush tests!!! lol,neutral,positive
hi there! sorry NEG_telling NEG_you NEG_let NEG_s NEG_meet NEG_up! NEG_with NEG_meirizka NEG_too. NEG_you NEG_promised NEG_to NEG_treat NEG_us! NEG_xd,neutral,positive
whew ok good.i really want happen. friends loved it. wait talk monday class.,neutral,positive
show people conservative blackjack,negative,neutral
raining stuck inside working today probably peed sunny outside ok rain,negative,neutral
tried translate tweet using google translation service spat back,negative,neutral
keep trying NEG_i NEG_didn NEG_t NEG_win NEG_had NEG_the NEG_right NEG_answer NEG_though! NEG_trick NEG_question!,neutral,positive
gettn ready take trip jersey dad NEG_doing NEG_so NEG_good NEG_he NEG_needs NEG_a NEG_new NEG_heart NEG_whoeva NEG_see NEG_s NEG_this NEG_please NEG_say NEG_a NEG_prayer NEG_for NEG_my NEG_dad,negative,neutral
oooh ok. thought losing mizmind,neutral,negative
admit bit bummed friends walking today....,negative,neutral
hate fallout keeps making jump also low health money ammo food worry get it.,neutral,negative
jay hi! job!,negative,neutral
kittykat hello new follower haha!! ya?,positive,neutral
cool!!! NEG_wonder NEG_you NEG_didn NEG_t NEG_sleep NEG_much,positive,neutral
...normal hours give interested twitter friends glimpse topic near dear us.,neutral,positive
disneyland blast yesterday back work,positive,neutral
listening sweet talk cute aim considering taking gameboy color again. miss chiptune.,negative,positive
ouch headache. ridiculously good mood,neutral,negative
wish one san francisco!,neutral,positive
remembered still summer project do. never NEG_ends!!!!!,negative,neutral
u go mariah never NEG_listen NEG_to NEG_the NEG_haters NEG_i NEG_have NEG_been NEG_a NEG_fan NEG_for NEG_so NEG_long NEG_and NEG_am NEG_so NEG_grateful NEG_for NEG_ur NEG_music. NEG_can NEG_t NEG_wait NEG_the NEG_album,positive,neutral
miss going ek every summer christmas vaca take there!,negative,neutral
nvm got ur message ur sick,neutral,negative
google wave looks cool. working guys came ideas years ago.,positive,neutral
saw thirst korean movie made chan wook park . movie hard good,neutral,positive
crazy gone.,negative,neutral
good morning sexy twitter yall doing??? gd like n still wanna sleep,neutral,positive
fact ihate directv ondemand w passion burns w white hot intensity suns. fact imiss comcast. like lot,negative,neutral
graduation day... feel like failure...,neutral,negative
ever seen tv show dead like me? died became grim reaper. taking people souls accidents,neutral,negative
boss come today.....,negative,neutral
got done working out....relaxing work,positive,neutral
lied yet see good looking men,neutral,positive
one cherry dr. pepper left fridge...thank god. im addicted stuff sad things skin.,neutral,negative
wait make call tomorrow. gotta keep moving forward!,positive,neutral
honestly home alone,positive,neutral
fresh change hearing write sins hey!!?? NEG_that NEG_theres NEG_anything NEG_wrong NEG_with NEG_that!,neutral,negative
twittascope NEG_rocking NEG_my NEG_socks NEG_go NEG_away NEG_already!!,neutral,negative
builds hotel without air con? bloody boiling here...,negative,neutral
aw well glad hear okay. try hot bath cup tea maybe calm down. worry you!,neutral,positive
coffee got cold blah!,negative,neutral
thanks tweetstats confirmed long suspected twitter keeping way late!,negative,positive
bed!!!!!... time ..... hope go school tomorrow though feel well right,negative,positive
miss jack n box whataburger oooo taco cabanaaaaaa lmao,neutral,negative
worry spelt NEG_correctly! NEG_it NEG_just NEG_looks NEG_wrong,neutral,negative
